ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
248763_at,0.00011,7.62E-09,3.36E+01,10.45888,2.16,AT5G47550,cysteine proteinase inhibitor 5
254080_at,0.00011,9.68E-09,3.25E+01,10.305037,1.25,FIB2,mediator of RNA polymerase II transcription subunit 36a
250434_at,0.000135,1.77E-08,2.97E+01,9.89782,9.99E-01,AT1G09200///AT5G65360///AT5G10400///AT5G10390///AT3G27360,histone H3///histone H3.1///histone H3///histone H3///histone H3
245208_at,0.000156,4.35E-08,2.60E+01,9.235956,1.47,LRP1,protein LATERAL ROOT PRIMORDIUM 1
257066_at,0.000156,5.15E-08,2.54E+01,9.106283,9.00E-01,AT3G18280,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
250239_at,0.000156,5.47E-08,-2.52E+01,9.058071,-1.33,AT5G13580,ABC transporter G family member 6
260582_at,0.000156,5.75E-08,-2.50E+01,9.018829,-1.25,AT2G47200,hypothetical protein
248104_at,0.000156,6.82E-08,2.43E+01,8.883507,1.38,IAMT1,IAA carboxylmethyltransferase 1
262317_at,0.000156,7.73E-08,-2.39E+01,8.782923,-1.39,EDA4,protein EMBRYO SAC DEVELOPMENT ARREST 4
256890_at,0.000156,7.94E-08,2.38E+01,8.760305,9.74E-01,GRP4,glycine-rich RNA-binding protein 4
264299_s_at,0.000156,8.54E-08,2.36E+01,8.701662,2.63,AT1G78860///AT1G78850,curculin-like (mannose-binding) lectin family protein///curculin-like (mannose-binding) lectin family protein
250028_at,0.000156,9.25E-08,-2.33E+01,8.636371,-1.21,AT5G18130,hypothetical protein
258900_at,0.000156,9.35E-08,2.32E+01,8.627538,7.89E-01,RPL18,60S ribosomal protein L18-2
258410_at,0.000156,9.92E-08,2.30E+01,8.577957,1.02,AT3G16780,60S ribosomal protein L19-2
266364_at,0.000156,1.13E-07,2.26E+01,8.467623,2.01,AT2G41230,hypothetical protein
245841_s_at,0.000156,1.15E-07,2.25E+01,8.452476,7.43E-01,AT1G59359///AT1G58983///AT1G58684///XW6,40S ribosomal protein S2-2///40S ribosomal protein S2-2///40S ribosomal protein S2-2///40S ribosomal protein S2-1
251436_at,0.000156,1.16E-07,2.25E+01,8.448734,2.82,ARGOS,protein AUXIN-REGULATED GENE INVOLVED IN ORGAN SIZE
256144_at,0.000162,1.28E-07,2.22E+01,8.362361,1.01,RACK1B_AT,receptor for activated C kinase 1B
263005_at,0.000162,1.46E-07,-2.18E+01,8.254459,-1.45,AT1G54540,late embryogenesis abundant hydroxyproline-rich glycoprotein
247480_at,0.000162,1.51E-07,2.16E+01,8.224357,8.67E-01,BAG7,BCL-2-associated athanogene 7
260560_at,0.000162,1.52E-07,2.16E+01,8.220222,1.27,AT2G43590,chitinase family protein
257206_at,0.000162,1.57E-07,2.15E+01,8.193364,8.10E-01,AT3G16530,legume lectin-like protein
249917_at,0.000173,1.84E-07,2.10E+01,8.057068,1.49,AT5G22460,esterase/lipase/thioesterase family protein
265588_at,0.000173,1.85E-07,2.10E+01,8.050878,2.33,AT2G19970,putative pathogenesis-related protein
265586_at,0.000173,1.93E-07,2.09E+01,8.01279,1.68,PR-1-LIKE,pathogenesis-related protein-1-like protein
258155_at,0.000173,2.05E-07,2.07E+01,7.963198,9.79E-01,RACK1C_AT,receptor for activated C kinase 1C
264339_at,0.000173,2.05E-07,-2.07E+01,7.96065,-1.45,TPS8,"putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8"
254818_at,0.000174,2.14E-07,2.05E+01,7.922923,1.41,AZI1,azelaic acid induced 1
265210_at,0.000185,2.36E-07,2.03E+01,7.839398,8.62E-01,RPL24A,60S ribosomal protein L24-1
250973_at,0.000186,2.56E-07,2.00E+01,7.764838,6.98E-01,AT5G02870,60S ribosomal protein L4-2
256905_at,0.000186,2.68E-07,1.99E+01,7.724713,1.06,HSP60,heat shock protein 60
264280_at,0.000186,2.76E-07,-1.98E+01,7.699406,-1.1,BGLU46,beta glucosidase 46
245885_at,0.000186,2.81E-07,-1.97E+01,7.683165,-1.07,EXL4,protein exordium like 4
245311_at,0.000186,2.86E-07,1.97E+01,7.668388,7.31E-01,AT4G14320///AT3G23390,60S ribosomal protein L36a///60S ribosomal protein L36a
261876_at,0.000186,2.86E-07,-1.97E+01,7.667537,-8.62E-01,AT1G50590,Pirin-like protein
250230_at,0.000197,3.11E-07,-1.94E+01,7.590903,-9.34E-01,AT5G13900,lipid transfer-like protein VAS
259112_at,0.000207,3.36E-07,1.92E+01,7.523038,7.34E-01,AT3G05560,60S ribosomal protein L22-2
247604_at,0.000218,3.65E-07,1.90E+01,7.447688,1.63,COBL5,COBRA-like protein 5
252604_at,0.000218,3.73E-07,-1.89E+01,7.428087,-1.27,NRT2.6,high affinity nitrate transporter 2.6
248797_at,0.000218,3.92E-07,1.88E+01,7.383566,6.29E-01,AT5G47210,Hyaluronan / mRNA binding family protein
253423_at,0.000218,3.92E-07,1.88E+01,7.382204,9.54E-01,IAA29,auxin-responsive protein IAA29
260557_at,0.000234,4.31E-07,1.85E+01,7.295969,2.1,AT2G43610,chitinase family protein
256098_at,0.000245,4.63E-07,-1.83E+01,7.231691,-1.14,PGL1,6-phosphogluconolactonase 1
254042_at,0.000246,4.74E-07,-1.83E+01,7.208773,-8.94E-01,XTR6,probable xyloglucan endotransglucosylase/hydrolase protein 23
251846_at,0.000251,4.95E-07,1.81E+01,7.169411,8.27E-01,HTA11,histone H2A 11
264342_at,0.000259,5.23E-07,1.80E+01,7.118635,1.64,AT1G12080,vacuolar calcium-binding protein-like protein
266415_at,0.000261,5.37E-07,1.79E+01,7.093737,8.35E-01,LTP2,non-specific lipid-transfer protein 2
260426_at,0.000269,5.83E-07,1.77E+01,7.017036,6.62E-01,P40,40S ribosomal protein Sa-1
250541_at,0.000269,5.86E-07,-1.77E+01,7.012761,-1.32,AT5G09520,hydroxyproline-rich glycoprotein family protein
245108_at,0.000269,5.90E-07,1.77E+01,7.006613,6.16E-01,CKX1,cytokinin dehydrogenase 1
260714_at,0.00028,6.25E-07,1.75E+01,6.952282,9.61E-01,CPN10,chaperonin 10
260048_at,0.000285,6.51E-07,-1.74E+01,6.914942,-9.81E-01,AT1G73750,hypothetical protein
262163_at,0.0003,6.98E-07,1.72E+01,6.849876,6.73E-01,AT1G77940,60S ribosomal protein L30-2
260882_at,0.000303,7.42E-07,1.71E+01,6.791876,7.50E-01,WRKY65,putative WRKY transcription factor 65
249895_at,0.000303,7.66E-07,-1.70E+01,6.761553,-1.31,FAR1,fatty acyl-CoA reductase 1
252077_at,0.000303,7.77E-07,1.70E+01,6.748481,6.02E-01,AT3G51720,hypothetical protein
249901_at,0.000303,8.03E-07,1.69E+01,6.717802,7.81E-01,HD2B,histone deacetylase HDT2
262349_at,0.000303,8.25E-07,-1.68E+01,6.692126,-1.21,AT2G48130,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
263350_at,0.000303,8.34E-07,-1.68E+01,6.680846,-1.08,AGT,alanine--glyoxylate aminotransferase
263882_at,0.000303,8.35E-07,1.68E+01,6.679878,8.07E-01,RNR1,ribonucleoside-diphosphate reductase large subunit
246503_at,0.000303,8.45E-07,1.67E+01,6.66922,8.44E-01,AT5G16130,40S ribosomal protein S7-3
260058_at,0.000303,8.46E-07,1.67E+01,6.667891,9.05E-01,AT1G78100,F-box protein
258837_at,0.000303,8.58E-07,1.67E+01,6.65493,8.00E-01,AT3G07110,60S ribosomal protein L13a-1
257193_at,0.000303,8.59E-07,1.67E+01,6.653249,6.77E-01,AT3G13160,pentatricopeptide repeat-containing protein
246114_at,0.000303,8.63E-07,-1.67E+01,6.648987,-1.36,DIN10,putative galactinol--sucrose galactosyltransferase 6
261921_at,0.000327,9.53E-07,1.65E+01,6.554846,9.44E-01,AT1G65900,hypothetical protein
249289_at,0.000327,9.60E-07,-1.64E+01,6.547379,-1.54,AT5G41040,omega-hydroxypalmitate O-feruloyl transferase
263691_at,0.000329,9.81E-07,1.64E+01,6.526927,7.84E-01,AT1G26880,60S ribosomal protein L34-1
251028_at,0.000336,1.03E-06,-1.63E+01,6.482315,-6.55E-01,AT5G02230,haloacid dehalogenase-like hydrolase superfamily protein
256072_at,0.000336,1.04E-06,1.62E+01,6.471506,7.22E-01,ATARCA,guanine nucleotide-binding protein subunit beta-like protein A
247765_at,0.000336,1.05E-06,-1.62E+01,6.459627,-1.62,CYP86A1,cytochrome P450 86A1
247903_at,0.000336,1.08E-06,-1.61E+01,6.431134,-6.62E-01,AT5G57340,hypothetical protein
258296_at,0.000336,1.16E-06,1.60E+01,6.364003,7.26E-01,AT4G14320///AT3G23390,60S ribosomal protein L36a///60S ribosomal protein L36a
251305_at,0.000336,1.17E-06,1.60E+01,6.361073,7.73E-01,ROC4,peptidyl-prolyl cis-trans isomerase CYP20-3
258367_at,0.000336,1.17E-06,1.60E+01,6.36022,1.57,WAG2,protein kinase WAG2
246070_at,0.000336,1.19E-06,1.59E+01,6.343851,6.58E-01,AT5G20160,ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
AFFX-DapX-M_at,0.000336,1.20E-06,1.59E+01,6.334561,7.79E-01,,
245076_at,0.000336,1.20E-06,1.59E+01,6.330177,3.29,GH3.3,indole-3-acetic acid-amido synthetase GH3.3
259976_at,0.000336,1.21E-06,-1.59E+01,6.324787,-7.26E-01,CP12-3,CP12 domain-containing protein 3
252287_at,0.000336,1.22E-06,1.59E+01,6.320912,6.86E-01,AT3G49080,ribosomal protein S5 domain 2-like superfamily protein
257701_at,0.000336,1.22E-06,1.59E+01,6.318433,5.84E-01,AT3G12710,putative 3-methyladenine glycosylase I
249881_at,0.000336,1.23E-06,-1.58E+01,6.312705,-7.83E-01,CYP86B1,cytochrome P450 86B1
266253_at,0.000336,1.23E-06,1.58E+01,6.310356,9.56E-01,HDT4,histone deacetylase HDT4
247376_at,0.000336,1.24E-06,1.58E+01,6.302763,5.43E-01,NDPK2,nucleoside diphosphate kinase II
252479_at,0.000336,1.25E-06,1.58E+01,6.292369,7.29E-01,TIM9,mitochondrial import inner membrane translocase subunit Tim9
258075_at,0.000342,1.29E-06,1.57E+01,6.264124,8.51E-01,HMT-1,homocysteine S-methyltransferase 1
265680_at,0.000347,1.33E-06,-1.57E+01,6.236229,-1.08,AT2G32150,haloacid dehalogenase-like hydrolase domain-containing protein
260494_at,0.000347,1.35E-06,1.56E+01,6.222137,9.84E-01,AT2G41820,leucine-rich repeat receptor-like tyrosine-protein kinase
